Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ANT_C1","0.8pF","C_0402_1005Metric",154.178000,-94.003000,270.000000,top
"ANT_C2","1.2pF","C_0402_1005Metric",161.480500,-94.257000,270.000000,top
"ANT_L1","3.9nH","L_0402_1005Metric",156.187000,-93.472000,180.000000,top
"ANT_L2","2.7nH","L_0402_1005Metric",161.008200,-95.758000,0.000000,top
"ANT_L3","3.3nH","L_0402_1005Metric",161.516000,-97.157000,90.000000,top
"C1","0.1u","C_0402_1005Metric",144.788000,-102.108000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",139.000000,-86.212500,90.000000,top
"C3","100nF","C_0402_1005Metric",136.500000,-79.785000,270.000000,top
"C4","0.1u","C_0402_1005Metric",144.788000,-99.845000,270.000000,top
"C5","0.1u","C_0402_1005Metric",145.000000,-97.000000,90.000000,top
"C6","0.1u","C_0402_1005Metric",146.050000,-88.161000,270.000000,top
"C9","100p","C_0402_1005Metric",157.249000,-91.440000,0.000000,top
"C10","1u","C_0402_1005Metric",147.574000,-88.161000,90.000000,top
"C11","100nF","C_0402_1005Metric",140.208000,-68.049000,90.000000,top
"C12","100n","C_0402_1005Metric",149.352000,-118.849000,270.000000,top
"C13","1u","C_0402_1005Metric",144.788000,-105.179000,270.000000,top
"C16","100n","C_0603_1608Metric",138.800000,-120.050000,270.000000,top
"C17","1u","C_0402_1005Metric",148.082000,-118.872000,270.000000,top
"C18","1u","C_0402_1005Metric",146.812000,-118.849000,270.000000,top
"C19","1u","C_0402_1005Metric",145.542000,-118.872000,270.000000,top
"C20","1u","C_0402_1005Metric",144.272000,-118.897500,270.000000,top
"C21","1u","C_0402_1005Metric",143.002000,-118.872000,270.000000,top
"C22","1u","C_0402_1005Metric",151.892000,-118.872000,270.000000,top
"C23","1u","C_0402_1005Metric",150.622000,-118.872000,270.000000,top
"C24","1u","C_0402_1005Metric",141.732000,-118.872000,270.000000,top
"C25","1u","C_0402_1005Metric",140.462000,-118.872000,270.000000,top
"CRYSTL_C1","12p","C_0603_1608Metric",144.272000,-86.106000,90.000000,top
"CRYSTL_C2","12p","C_0603_1608Metric",141.478000,-86.080500,90.000000,top
"CRYSTL_C3","12p","C_0603_1608Metric",157.480000,-86.614000,0.000000,top
"CRYSTL_C4","12p","C_0603_1608Metric",153.644500,-86.614000,180.000000,top
"D1","LED_B","LED_0805_2012Metric",133.800000,-119.350000,0.000000,top
"D2","LED","LED_0805_2012Metric",139.875500,-65.278000,0.000000,top
"D4","MBR0530","D_SOD-123",135.700000,-117.300000,0.000000,top
"D8","MBR0530","D_SOD-123",154.400000,-108.150000,0.000000,top
"J2","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",154.500000,-100.750000,0.000000,top
"J4","USB_B_Micro","USB_Micro-B_Ebay",132.080000,-64.262000,270.000000,top
"JP1","Jumper_NO_Small","SMT-JUMPER_2_NO_NO-SILK",145.606400,-65.400000,180.000000,top
"JP2","Jumper_NO_Small","SMT-JUMPER_2_NO_NO-SILK",140.400000,-109.950000,180.000000,top
"L1","10nH","L_0805_2012Metric",149.352000,-87.043500,90.000000,top
"L6","15uH","L_0603_1608Metric",146.786500,-86.106000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-323_SC-70",155.702000,-118.872000,270.000000,top
"R1","5.6","R_0603_1608Metric",136.450000,-119.987500,90.000000,top
"R2","10k","R_0603_1608Metric",138.500000,-79.500000,270.000000,top
"R3","10k","R_0603_1608Metric",147.320000,-68.351500,270.000000,top
"R4","330","R_0603_1608Metric",143.281500,-65.278000,180.000000,top
"R5","R","R_0402_1005Metric",147.915000,-108.000000,0.000000,top
"R10","R","R_0402_1005Metric",147.351000,-102.870000,0.000000,top
"R16","0.47","R_0603_1608Metric",153.416000,-118.643500,270.000000,top
"R17","10k","R_0603_1608Metric",157.988000,-118.643500,270.000000,top
"U2","nRF52832-QFxx","QFN-48-1EP_6x6mm_P0.4mm_EP4.66x4.66mm",149.098000,-93.218000,0.000000,top
"U4","BQ21040","SOT-23-6",143.510000,-68.072000,0.000000,top
